TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,yearPrinted,datePremiered,dateWriting,Genre,Type,in_TD
TD105,alexandre_dumas_pere-paul_jones,Paul Jones,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1838-10-12,,,prose,TD105
TD106,alexandre_dumas_pere-prisonnier_de_la_bastille,Le Prisonnier de la Bastille,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1861-03-22,,,,TD106
TD107,alexandre_dumas_pere-reine_margot,La Reine Margot,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1847-02-20,,,,TD107
TD108,alexandre_dumas_pere-romulus,Romulus,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1854-01-13,,Comédie,prose,TD108
TD109,alexandre_dumas_pere-teresa,Teresa,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1832-02-06,,,prose,TD109
TD110,alexandre_dumas_pere-trois_entr_actes_pour_l_amour_medecin,Trois entr'actes pour l'Amour médecin,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1850-01-15,,,vers,TD110
TD111,alexandre_dumas_pere-verrou_de_la_reine,Le Verrou de la reine,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1856-12-15,,Comédie,prose,TD111
TD112,alexandre_dumas_pere-vingt_quatre_fevrier,Le vingt-quatre février,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1850-03-30,,,,TD112
TD113,alexandre_dumas_pere_adolphe_de_leuven-roman_d_elvire,Le Roman d'Elvire,Alexandre DUMAS Père - Adolphe DE LEUVEN,Alexandre Dumas Père,Adolphe De Leuven,Q38337,,1860-02-04,,,,TD113
TD114,alexandre_dumas_pere_adolphe_de_leuven_pierre_joseph_rousseau-chasse_et_l_amour,La Chasse et l'Amour,Alexandre DUMAS Père - Adolphe DE LEUVEN - Pierre Joseph ROUSSEAU,Alexandre Dumas Père,Adolphe De Leuven,Q38337,,1825-09-22,,Vaudeville,,TD114
TD115,alexandre_dumas_pere_amedee_de_jallais-gabriel_lambert,Gabriel Lambert,Alexandre DUMAS Père - Amédée DE JALLAIS,Alexandre Dumas Père,Amédée De Jallais,Q38337,,1866-03-16,,,,TD115
TD116,alexandre_dumas_pere_auguste_anicet_bourgeois-venitienne,La Vénitienne,Alexandre Père DUMAS - Auguste ANICET-BOURGEOIS,Alexandre Père Dumas,Auguste Anicet-Bourgeois,Q38337,,1834-03-18,,,,TD116
TD117,alexandre_dumas_pere_auguste_anicet_bourgeois_eugene_durieu-mari_de_la_veuve,Le Mari de la veuve,Alexandre Père DUMAS - Auguste ANICET-BOURGEOIS - Eugène  DURIEU,Alexandre Père Dumas,Auguste Anicet-Bourgeois,Q38337,,1832-04-04,,,prose,TD117
TD118,alexandre_dumas_pere_auguste_maquet-catilina,Catilina,Alexandre DUMAS Père - Auguste MAQUET,Alexandre Dumas Père,Auguste Maquet,Q38337,,1848-10-14,,,,TD118
TD119,alexandre_dumas_pere_auguste_maquet-chevalier_de_maison_rouge,Le chevalier de Maison-Rouge,Alexandre DUMAS Père - Auguste MAQUET,Alexandre Dumas Père,Auguste Maquet,Q38337,,1847-08-03,,,,TD119
TD120,alexandre_dumas_pere_auguste_maquet-chevalier_d_harmental,Le Chevalier d'Harmental,Alexandre DUMAS Père - Auguste MAQUET,Alexandre Dumas Père,Auguste Maquet,Q38337,,1849-07-26,,,,TD120
TD121,alexandre_dumas_pere_auguste_maquet-comte_de_morcef_troisieme_partie_de_monte_cristo,Le Comte de Morcef,Alexandre DUMAS Père - Auguste MAQUET,Alexandre Dumas Père,Auguste Maquet,Q38337,,1851-04-01,,,,TD121
TD122,alexandre_dumas_pere_auguste_maquet-dame_de_monsoreau,La Dame de Monsoreau,Alexandre DUMAS Père - Auguste MAQUET,Alexandre Dumas Père,Auguste Maquet,Q38337,,1860-11-19,,,,TD122
TD123,alexandre_dumas_pere_auguste_maquet-guerre_des_femmes,La Guerre des femmes,Alexandre DUMAS Père - Auguste MAQUET,Alexandre Dumas Père,Auguste Maquet,Q38337,,1849-10-01,,,,TD123
TD124,alexandre_dumas_pere_auguste_maquet-jeunesse_des_mousquetaires,La jeunesse des Mousquetaires,Alexandre DUMAS Père - Auguste MAQUET,Alexandre Dumas Père,Auguste Maquet,Q38337,,1849-02-17,,,,TD124
TD125,alexandre_dumas_pere_auguste_maquet-monte_cristo_deuxieme_partie,Monte-Cristo (Deuxième partie,Alexandre DUMAS Père - Auguste MAQUET,Alexandre Dumas Père,Auguste Maquet,Q38337,,1848-02-04,,,,TD125
