andre_mareschal-cour_bergere_ou_l_arcadie_de_messire_philippes_sidney	[vide]	1640.</p>	[vide]	[vide]	1640	[vide]
destouches-amour_use_ou_le_vindicatif_genereux	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Martin, le 20 septembre 1741.	[vide]	[vide]	1741-09-20
pierre_claude_nivelle_de_la_chaussee-ecole_de_la_jeunesse_ou_le_retour_sur_soi_meme	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 22 février 1749.	[vide]	[vide]	1749-02-22
adolphe_d_ennery_adolphe_de_leven_leon_levy_brunswick-amour_en_commandite	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 8 novembre 1840.	[vide]	[vide]	1840-11-08
adolphe_d_ennery_julien_de_mallian-marie_jeanne	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la porte Saint-Martin, le 11 novembre 1845.	[vide]	[vide]	1845-11-11
eugene_scribe-grand_mere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 14 mars 1840.	[vide]	[vide]	1840-03-14
jean_galbert_de_campistron-pompeia	[vide]	1697.</p>	[vide]	[vide]	1697	[vide]
hauteroche-deuil	[vide]	[vide]	Représentée, pour la première fois, en 1672.	[vide]	[vide]	1672
georges_feydeau-main_passe	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Nouveautés, le 1<sup>er</sup> mars 1904.	[vide]	[vide]	1904-03-01
victor_hugo-la_esmeralda	[vide]	1836.</p>	[vide]	[vide]	1836	[vide]
charles_desnoyers_b_edan-alice_ou_les_fossoyeurs_ecossais	[vide]	[vide]	Représenté pour là première fois, à Paris, sur le Théâtre de la Gaîté, le 24 octobre 1829.	[vide]	[vide]	1829-10-24
dancourt-fees	[vide]	[vide]	Représentée pour la première fois, au Château de Fontainebleau, le 24 septembre 1699.	[vide]	[vide]	1699-09-24
thomas_sauvage_armand_d_artois_jean_henri_dupin-perruquier_et_le_coiffeur	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 19 février 1824.	[vide]	[vide]	1824-02-19
brecourt-ombre_de_moliere	[vide]	1674.</p>	Représentée pour la première fois, à Paris, quelques jours après la mort de Molière, sur le théâtre de l’Hôtel de Bourgognes et immédiatement interdite à la demande d’Armande, veuve de Molière.	[vide]	1674	[vide]
eugene_labiche_adolphe_choler-marquises_de_la_fourchette	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 31 août 1854.	[vide]	[vide]	1854-08-31
eugene_scribe_thomas_terrier-dix_ans_de_la_vie_d_une_femme_ou_les_mauvais_conseils	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Porte Saint-Martin, le 17 mars 1832.	[vide]	[vide]	1832-03-17
jacques_francois_ancelot_nicolas_paul_duport-quitte_ou_double	[vide]	[vide]	Représentée pour la première fois, à paris, sur le Théâtre du Vaudeville, le 19 septembre 1840.	[vide]	[vide]	1840-09-19
eugene_scrine_melesville_jean_francois_bayard-philippe	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 19 avril 1830.	[vide]	[vide]	1830-04-19
michel_nicolas_balisson_de_rougemont-duchesse_de_la_vaubaliere	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Port-Saint-Martin, le 25 juin 1836.	[vide]	[vide]	1836-06-25
moliere-misanthrope	[vide]	[vide]	Représentée pour la première fois à Paris sur le Théâtre du Palais-Royal, le 4 juin 1666, par la Troupe du Roi.	[vide]	[vide]	1666-06-04
georges_feydeau_maurice_desvallieres-affaire_edouard	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 12 janvier 1889.	[vide]	[vide]	1889-01-12
thomas_corneille_jean_donneau_de_vise-circe	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Guénégaud, le 16 mars 1675.	[vide]	[vide]	1675-03-16
marivaux-fausses_confidences	[vide]	[vide]	Représentée pour la première fois, à Paris, par les comédiens Italiens, sur le Théâtre de l’Hôtel de Bourgogne, le 16 mars 1737.	[vide]	[vide]	1737-03-16
pierre_claude_nivelle_de_la_chaussee-ecole_des_amis	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 25 février 1737.	[vide]	[vide]	1737-02-25
hauteroche-soupe_mal_apprete	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 12 juillet 1669.	[vide]	[vide]	1669-07-12
jean_de_palaprat-triomphe_de_l_hiver	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 29 novembre 1694.</span>	[vide]	[vide]	1694-11-29
tristan_bernard_michel_corday-accord_parfait	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Fémina, le 25 novembre 1911.	[vide]	[vide]	1911-11-25
adolphe_d_ennery_eugene_grange-femme_de_lettres	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Folies-Dramatiques, le 14 novembre 1837.	[vide]	[vide]	1837-11-14
georges_courteline-godefroy	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
pierre_du_ryer-dynamis_reine_de_carie	[vide]	[vide]	Représentée pour la première fois, en 1650.	[vide]	[vide]	1650
tristan_bernard_andre_godfernaux-triplepatte	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Athénée, le 30 novembre 1905.	[vide]	[vide]	1905-11-30
georges_courteline-balances	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Antoine, le 26 novembre 1901.	[vide]	[vide]	1901-11-26
charles_desnoyers_louis_marie_fontan-homme_entre_deux_ages	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Royal de l’Odéon, le 27 novembre 1828.	[vide]	[vide]	1828-11-27
dancourt-fetes_nocturnes_du_cours	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 5 septembre 1714.	[vide]	[vide]	1714-09-05
jean_baptiste_artaud-centenaire_de_moliere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la salle des Machines, le 18 février 1773.	[vide]	[vide]	1773-02-18
dancourt-comedie_des_comediens_ou_l_amour_charlatan	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 5 août 1710.	[vide]	[vide]	1710-08-05
moliere-facheux	[vide]	[vide]	représentée pour la première fois en public à Paris, sur le Théâtre du Palais-Royal, le 4 novembre 1661, par le Troupe de Monsieur, frère unique du Roi.	[vide]	[vide]	1661-11-04
tristan_bernard-peintre_exigeant	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Comédie-Française le 21 lévrier 1910.	[vide]	[vide]	1910-02-21
alexandre_dumas_fils-demi_monde	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 20 mars 1835.	[vide]	[vide]	1835-03-20
octave_mirbeau-portefeuille	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Renaissance-Gémier, le 19 février 1900.	[vide]	[vide]	1900-02-19
marc_antoine_legrand-nouveaux_debarques	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 5 novembre 1725.	[vide]	[vide]	1725-11-05
victorien_sardou-pattes_de_mouche	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase dramatique, le 15 mai 1860.	[vide]	[vide]	1860-05-15
eugene_labiche-petit_voyage	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 1<sup>er</sup> décembre 1868.	[vide]	[vide]	1868-12-01
moliere-monsieur_de_pourceaugnac	[vide]	[vide]	représentée pour la première fois à Paris sur le Théâtre du Palais-Royal le 15 novembre 1669 par la Troupe du Roi.	[vide]	[vide]	1669-11-15
jean_de_rotrou-celimene	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1633.	[vide]	[vide]	1633
montfleury-impromptu_de_l_hotel_de_conde	[vide]	[vide]	Représentée pour la première fois, en l’Hôtel de Condé, le 11 décembre 1663.	[vide]	[vide]	1663-12-11
eugene_scribe_paul_duport-voyage_dans_l_appartement_ou_l_influence_des_localites	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 18 janvier 1833.	[vide]	[vide]	1833-01-18
charles_desnoyers-faubourien	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Gaîté, le 24 avril 1831.	[vide]	[vide]	1831-04-24
eugene_labiche_alfred_delacour_adolphe_choler-chemins_de_fer	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 25 novembre 1867.	[vide]	[vide]	1867-11-25
henri_meilhac-copiste	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre du Gymnase, le 3 août 1857. </span>	[vide]	[vide]	1857-08-03
eugene_scribe_jean_henri_dupin-fou_de_peronne	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 18 janvier 1819.	[vide]	[vide]	1819-01-18
marivaux-legs	[vide]	[vide]	Représentée pour la première fois, à Paris, par les comédiens Français, sur le Théâtre de la rue des Fossés Saint-Germain, le 11 juin 1736.	[vide]	[vide]	1736-06-11
georges_courteline-cinquantaine	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du carillon, le 22 novembre 1895.	[vide]	[vide]	1895-11-22
tristan_bernard-radeau_de_la_meduse	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Renaissance, le 6 février 1898.	[vide]	[vide]	1898-02-06
adolphe_d_ennery_gustave_lemoine-grace_de_dieu_ou_la_nouvelle_fanchon	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le théâtre de la Gaîté, le 16 janvier 1841.	[vide]	[vide]	1841-01-16
emile_zola-therese_raquin	[vide]	[vide]	Représenté pour la première fois à Paris, sur le Théâtre de la Renaissance, le 11 juillet 1873.	[vide]	[vide]	1873-07-11
thomas_sauvage-pere_et_citoyen_ou_le_patriote_de_modene	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Panthéon, le 26 mai 1832.	[vide]	[vide]	1832-05-26
christophe_barthelemy_fagan_de_lugny-pupille	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 5 juillet 1734.	[vide]	[vide]	1734-07-05
destouches-depot	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
victorien_sardou-tosca	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Porte-Saint-Martin, avec Sarah Bernhardt dans le rôle titre, le 24 novembre 1887.	[vide]	[vide]	1887-11-24
eugene_labiche_alfred_delacour-roi_dort	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 31 mars 1876.	[vide]	[vide]	1876-03-31
prosper_jolyot_de_crebillon-pyrrhus	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 19 avril 1726.	[vide]	[vide]	1726-04-19
charles_desnoyers-papier_timbre	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Ambigu Comique, le 12 septembre 1828.	[vide]	[vide]	1828-09-12
david_augustin_de_brueys-empiriques	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 11 juin 1697.	[vide]	[vide]	1697-06-11
jacques_francois_ancelot_nicolas_paul_duport-dame_de_l_empire	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 17 mars 1834.	[vide]	[vide]	1834-03-17
thomas_corneille-comte_d_essex	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 7 janvier 1678.	[vide]	[vide]	1678-01-07
victorien_sardou-vieux_garcons	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 21 janvier 1865.	[vide]	[vide]	1865-01-21
adolphe_d_ennery-grisette_au_vert	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 8 juillet 1840.	[vide]	[vide]	1840-07-08
eugene_labiche_auguste_anicet_bourgeois-monsieur_qui_a_brule_une_dame	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 29 novembre 1856.	[vide]	[vide]	1856-11-29
thomas_corneille-laodice_reine_de_cappadoce	[vide]	[vide]	Représentée pour la première fois, à Dijon, en 1668.	[vide]	[vide]	1668
eugene_labiche_marc_michel-soufflez_moi_dans_l_oeil	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 1<sup>er</sup> mai 1852.	[vide]	[vide]	1852-05-01
victorien_sardou-piccolino	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le jeudi 18 juillet 1861.	[vide]	[vide]	1861-07-18
voltaire-hote_et_l_hotesse	[vide]	[vide]	Représenté pour la première fois au Château de Brunoy en 1776.	[vide]	[vide]	1776
voltaire-fanatisme_ou_mahomet_le_prophete	[vide]	[vide]	Représentée pour la première fois, à Lille, en avril 1741, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 29 août 1742.	[vide]	[vide]	1742-08-29
jean_de_rotrou-hercule_mourant	[vide]	[vide]	Représentée pour la première fois, en 1632.	[vide]	[vide]	1632
virginie_ancelot-pere_marcel	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le théâtre des variétés, le 19 janvier 1841.	[vide]	[vide]	1841-01-19
alfred_capus-veine	[vide]	[vide]	Représentée pour la première fois au Théâtre des Variétés, le 2 avril 1901, reprise au Théâtre du Vaudeville, le 21 décembre 1907.	[vide]	[vide]	1901-04-02
jean_de_rotrou-hypocondriaque_ou_le_mort_amoureux	[vide]	[vide]	Représentée pour la première fois, en 1628.	[vide]	[vide]	1628
andre_mareschal-inconstance_d_hylas	[vide]	1635.</p>	[vide]	[vide]	1635	[vide]
eugene_scribe-passion_secrete	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 13 mars 1834.	[vide]	[vide]	1834-03-13
eugene_scribe_jean_henri_dupin-heritiers_de_crac	[vide]	[vide]	Représenté, pour la première fois, à Paris, sur le Théâtre du Gymnase dramatique, le 11 juillet 1829.	[vide]	[vide]	1829-07-11
de_beaunoir-jeannette_ou_les_battus_ne_payent_pas_toujours_l_amende	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Grands Danseurs du Roi, en mai 1780.	[vide]	[vide]	1780-05
denis_diderot-train_du_monde_ou_moeurs_honnetes_comme_elles_le_sont	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
henri_meilhac_ludovic_halevy-roi_candaule	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 9 avril 1873.	[vide]	[vide]	1873-04-09
eugene_scribe_antoine_francois_varner-theobald_ou_le_retour_de_russie	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de S. A. R. Madame, le 12 février 1829.	[vide]	[vide]	1829-02-12
emmanuel_des_essarts-illustre_theatre	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre national de l’Odéon, le 15 janvier 1900.</span>	[vide]	[vide]	1900-01-15
paul_meurice-quatre_vingt_treize	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Gaîté, le 24 décembre 1881.</span>	[vide]	[vide]	1881-12-24
michel_de_cubieres_palmezeaux-dramaturge_ou_la_manie_des_drames_sombres	[vide]	[vide]	Représentée pour la première fois, à Fontainebleau devant Leurs Majestés, par les Comédiens Français le 29 octobre 1776.	[vide]	[vide]	1776-10-29
jacques_francois_ancelot_leon_laya-dandy	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 15 octobre 1832.	[vide]	[vide]	1832-10-15
jean_francois_bayard_alexis_decomberousse-bonne_fortune	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase Dramatique, le 1<sup>er</sup> juin 1832.	[vide]	[vide]	1832-06-01
eugene_scribe-malheurs_d_un_amant_heureux	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 29 janvier 1833.	[vide]	[vide]	1833-01-29
eugene_scribe_emile_de_najac-fille_de_trente_ans	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 15 décembre 1859.	[vide]	[vide]	1859-12-15
hippolyte_minier-songe_de_moliere	[vide]	[vide]	Représenté pour la première fois, à Bordeaux, sur le Théâtre-Français de Bordeaux, le 21 mai 1867.</span>	[vide]	[vide]	1867-05-21
jean_de_rotrou-illustre_amazone	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
eugene_scribe_jean_francois_bayard-budget_d_un jeune_menage	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 4 mars 1831.	[vide]	[vide]	1831-03-04
auguste_maquet_jules_lacroix-valeria	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Comédie Française, le 28 février 1851.	[vide]	[vide]	1851-02-28
robert_alphonse_gautier-moliere_et_son_tartuffe	[vide]	Imprimée en 1839.</span></p>	[vide]	[vide]	1839	[vide]
eugene_labiche_dumanoir_clairville-exposition_des_produits_de_la_republique	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Montansier, le 20 juin 1849.	[vide]	[vide]	1849-06-20
jacques_francois_ancelot-roi_faineant	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Odéon, le 26 août 1830.	[vide]	[vide]	1830-08-26
eugene_labiche_charles_desnoyers_melesville-sopha	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 18 juillet 1850.	[vide]	[vide]	1850-07-18
adolphe_d_ennery_adolphe_de_leuven_dumanoir-hotel_des_haricots_ou_il_vaut_mieux_monter_sa_garde	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 9 août 1837.	[vide]	[vide]	1837-08-09
eugene_labiche_philippe_gille-trente_millions_de_galdiator	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 22 janvier 1875.	[vide]	[vide]	1875-01-22
alexis_piron-philomele	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, de 12 juin 1723.	[vide]	[vide]	1723-06-12
jean_francois_cailhava_de_l_estandoux-journalistes_anglais	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Nation, le 20 juillet 1782. </span>	[vide]	[vide]	1782-07-20
henri_de_bornier-quinze_janvier	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre Français, le 15 janvier 1860.</span>	[vide]	[vide]	1860-01-15
pierre_corneille-sertorius	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Marais, le 25 février 1662.	[vide]	[vide]	1662-02-25
gautier_de_costes_sieur_de_la_calprenede-clarionte_ou_le_sacrifice_sanglant	[vide]	[vide]	Représenté pour la première fois, à Paris, en 1636.	[vide]	[vide]	1636
henri_meilhac-attache_d_ambassade	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre du Vaudeville, le 12 octobre 1861.	[vide]	[vide]	1861-10-12
virginie_ancelot-mariage_raisonnable	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre-Français, le 4 novembre 1835.	[vide]	[vide]	1835-11-04
eugene_labiche_auguste_lefranc-homme_de_paille	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 12 mai 1843.	[vide]	[vide]	1843-05-12
philippe_quinault-genereuse_ingratitude	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1654.	[vide]	[vide]	1654
montfleury-mariage_de_rien	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en mars 1660.	[vide]	[vide]	1660-03
eugene_labiche_eugene_nus-cachemire_x_b_t	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 24 février 1870.	[vide]	[vide]	1870-02-24
jean_francois_regnard_charles_dufresny-suite_de_la_foire_saint_germain_ou_les_momies_d_egypte	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 19 mars 1696.	[vide]	[vide]	1696-03-19
edme_boursault-mots_a_la_mode	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 19 août 1694.	[vide]	[vide]	1694-08-19
louis_de_boissy-folie_du_jour	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 5 juillet 1745.	[vide]	[vide]	1745-07-05
eugee_labiche_marc_michel-omelette_a_la_follembuche	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Bouffes-Parisiennes, le 8 juin 1859.	[vide]	[vide]	1859-06-08
eugene_scribe_jean_henri_dupin_antoine_francois_varner-mansarde_des_artistes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 2 avril 1824.	[vide]	[vide]	1824-04-02
emile_blemont_leon_valade-barbier_de_pezenas	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre de l’Odéon, le 15 janvier 1877.</span>	[vide]	[vide]	1877-01-15
pierre_claude_nivelle_de_la_chaussee-maximien	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 28 février 1738.	[vide]	[vide]	1738-02-28
charles_desnoyers_antonin_d_avrecourt-epee_de_mon_pere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 21 octobre 1836.	[vide]	[vide]	1836-10-21
charles_desnoyers_hippolyte_auger-pierre_le_grand	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 23 juillet 1836.	[vide]	[vide]	1836-07-23
abbe_augustin_theodore_vincent_lebeau_de_schosne-assemblee	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Salle des machines, le 17 février 1773.</span>	[vide]	[vide]	1773-02-17
eugene_labiche_auguste_lefranc_eugene_nyon-en_manches_de_chemise	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Montansier, le 8 août 1851.	[vide]	[vide]	1851-08-08
adolphe_d_ennery_dumanoir-capitaine_roquefinette	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 27 octobre 1843.	[vide]	[vide]	1843-10-27
henri_meilhac_ludovic_halevy-bresilien	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 9 mai 1863.</span>	[vide]	[vide]	1863-05-09
eugene_scribe_pierre_carmouche_melesville-jean_de_vert	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 19 août 1833.	[vide]	[vide]	1833-08-19
alexis_piron-ecole_des_peres_ou_les_fils_ingrats	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 21 octobre 1728.	[vide]	[vide]	1728-10-21
victorien_sardou-patrie	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Porte-Saint Martin, le 18 mars 1869.	[vide]	[vide]	1869-03-18
boisrobert-rivaux_amis	[vide]	[vide]	Représentée pour la première fois en 1638.	[vide]	[vide]	1638
eugene_scribe-mariage_d_argent	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 3 décembre 1827.	[vide]	[vide]	1827-12-03
victorien_sardou-ecureuil	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 9 février 1861.	[vide]	[vide]	1861-02-09
victor_hugo-hernani	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le théâtre de la Comédie-Française, le 25 février 1830.	[vide]	[vide]	1830-02-25
george_sand-roi_attend	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la République, le 9 avril 1848.	[vide]	[vide]	1848-04-09
alexis_piron-amant_mysterieux	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 30 août 1734.	[vide]	[vide]	1734-08-30
adolphe_d_ennery_eugene_cormon-compagnons_ou_la_mansarde_de_la_cite	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Gaîté, le 14 février 1846. </span></span>	[vide]	[vide]	1846-02-14
georges_courteline-theodore_cherche_des_allumettes	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
andre_mareschal-genereuse_allemande_ou_le_triomphe_d_amour_deuxieme_journee	[vide]	1631.</p>	représentée l’histoire de feu M. et Mme de Cirey.	[vide]	1631	[vide]
eugene_scribe_antoine_francois_varner-madame de_sainte_agnes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de Madame, le 20 février 1829.	[vide]	[vide]	1829-02-20
jean_francois_regnard-critique_de_l_homme_a_bonnes_fortunes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 1<sup>er</sup> mars 1690.	[vide]	[vide]	1690-03-01
marc_antoine_legrand-fleuve_d_oubli	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Loge de Pellegrin, le 12 septembre 1721.	[vide]	[vide]	1721-09-12
moliere-amour_medecin	[vide]	[vide]	Représentée pour la première fois à Versailles par ordre du Roi, le 15 septembre 1665 et donnée depuis au public à Paris sur le Théâtre du Palais-Royal, le 22 du même mois de septembre 1665, par la Troupe du Roi.	[vide]	[vide]	1665-09-15
dumanoir_paul_siraudin_clairville-hures_graves_trifouillis_en_vers_et_contre_les_burgraves	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le théâtre du Palais-Royal, le 21 mars 1843.	[vide]	[vide]	1843-03-21
victorien_sardou_emile_moreau-cleopatre	[vide]	[vide]	Représenté, pour la première fois, à Paris, sur le Théâtre de la Porte-Saint-Martin, le 13 octobre 1890.	[vide]	[vide]	1890-10-13
eugene_labiche_theodore_barriere-papa_du_prix_d_honneur	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 6 février 1868.	[vide]	[vide]	1868-02-06
destouches-scenes_de_thalie_et_melpomene	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
eugene_labiche_auguste_lefranc_eugene_nyon-inventeur_de_la_poudre	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 17 juin 1846.	[vide]	[vide]	1846-06-17
georges_feydeau-fil_a_la_patte	[vide]	[vide]	Représentée pour la première fois à Paris, sur la scène du Palais-Royal, le 9 janvier 1894.	[vide]	[vide]	1894-01-09
alexandre_dumas_pere_eugene_nus-cachemire_vert	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre du Gymnase-Dramatique, le 15 décembre 1849.	[vide]	[vide]	1849-12-15
montfleury-thrasibule	[vide]	[vide]	Représentée pour la première fois, à Paris, au Château du Louvre, le 10 décembre en 1663.	[vide]	[vide]	1663-12-10
