,quinault-cadmus-hermione,quinault-isis,Cost,Operation Type
335,"('#tous-les-choeurs', 'Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles, Vivez heureux.')","('#jupiter', ""Venez, venez Déesse impitoyable  Venez, voyez, reconnaissez Cette Nymphe mourante autrefois trop aimable. C'est assez la punir, c'est vous venger assez; L'éclat de sa beauté ne la rend plus coupable,  Par la cruelle horreur du tourment qui l'accable, Son crime et ses appas sont ensemble effacés. Sans jalousie et sans alarmes Voyez ses yeux noyés de larmes Que l'ombre de la mort commence de couvrir."")",0.69,Substitution
336,"('#l-hymen', ""L'Hymen veut vous offrir ses chaines les plus belles."")",,1.0,Insertion
337,"('#junon', 'Junon en veut former les noeuds.')",,1.0,Insertion
338,"('#les-choeurs', 'Amants fidèles,  Vivez heureux.')",,1.0,Insertion
339,"('#venus', 'Vénus vous donnera des douceurs éternelles.')","('#junon', ""Ils n'ont encor que trop de charmes Puisqu'ils savent attendrir."")",0.7,Substitution
340,,"('#jupiter', ""Une juste pitié peut elle vous aigrir ? Votre courroux fatal ne doit-il pas s'éteindre ?"")",1.0,Deletion
341,,"('#junon', ""Ah ! vous la plaignez trop, elle n'est pas à plaindre  Non elle ne peut trop souffrir."")",1.0,Deletion
342,"('#mars', ""J'écarterai de vous les fatales querelles, Et les ennemis dangereux."")","('#jupiter', ""Je sais que c'est de vous que son sort doit dépendre. Ce n'est qu'à vos bontés qu'elle doit recourir. Il n'est rien que de moi vous ne deviez attendre, Si je puis obliger votre haine à se rendre."")",1.14,Substitution
343,"('#les-choeurs', 'Amants fidèles,  Vivez heureux.')","('#io', 'Ah ! Laissez moi mourir.')",1.41,Substitution
344,"('#pallas', 'Attendez de Pallas mille faveurs nouvelles.')","('#junon', 'Prenez soin de la secourir.')",1.94,Substitution
345,"('#l-amour', ""L'amour conservera toujours de si beaux feux."")","('#io', ""Vous l'aimez d'un amour trop tendre Non elle ne peut trop souffrir."")",0.75,Substitution
346,"('#les-choeurs', 'Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles,  Vivez heureux.')","('#jupiter', ""Quoi ! Le coeur de Junon quelque grand qu'il puisse être  Ne saurait triompher d'une injuste fureur"")",1.18,Substitution
347,,"('#junon', ""De la terre et du Ciel Jupiter est le maître Et Jupiter n'est pas le maître de son coeur ?"")",1.0,Deletion
348,,"('#jupiter', 'Hé bien ! il faut que je commence À me vaincre en ce jour.')",1.0,Deletion
349,,"('#junon', ""Vous m'apprendrez à me vaincre à mon tour."")",1.0,Deletion
350,"('#jupiter', 'Hymen, prend soin ici des Danses et des Jeux.')",,1.0,Insertion
351,"('#les-choeurs', 'Amants fidèles,  Vivez heureux.')","('#jupiter #junon', ""Abandonnez votre vengeance Je vous rends mon amour . J'abandonnerai ma vengeance,  Rendez moi votre amour. Jupiter. Junon."")",1.56,Substitution
352,"('#l-hymen', ""Venez, Dieu des festins, aimables Jeux, venez ; Comblez de vos douceurs ces époux fortunés Tandis que tout le ciel prépare Les dons qu'il leur a destinés, La terre y doit mêler ce qu'elle a de plus rare. Venez, Dieu des festins, aimables jeux, venez ; Comblez de vos douceurs ces époux fortunés. Comus, Dieu des festins, s'avance accompagné de ses suivantes ordinaires, six hamadryades sortent de la terre, avec des corbeilles pleines de fruits. Comus commence à danser seul, ses suivants dansent ensuite, et après que les Hamadryades ont été présenter leurs fruits aux deux époux, elle viennent danser avec les suivants de Comus : cependant Arbas et la nourrice ne peuvent retenir les transports de leur joie et viennent mêler leurs chants avec les danse."")","('#jupiter', ""Noires Ondes du Styx, c'est par vous que je jure. Fleuve affreux écoutez le serment que je fais. Si cette Nymphe, enfin, reprend tous ses attraits, Si Junon fait cesser les tourments qu'elle endure, Je jure que ses yeux ne troubleront jamais De nos coeurs réunis la bienheureuse paix. Noires Ondes du Styx, c'est par vous que je jure. Fleuve affreux écoutez le serment que je fais."")",0.92,Substitution
353,"('#arbas #la-nourrice', ""Serons-nous dans le silence Quand on rit, et quand on danse : Les chagrins ont eu leur temps, Pour jamais le Ciel les chasse, Les plaisirs ont pris leur place ; Lorsque deux coeurs sont constants Tôt ou tard ils sont contents. Qu'il est doux quand on soupire, De sortir d'un long martyre : Les chagrins ont eu leur temps,  Pour jamais le Ciel les chasse, Les plaisirs ont pris leur place ;  Lorsque deux coeurs sont constants  Tôt ou tard ils sont contents. Des Amours font descendre du Ciel sous un espèce de petit pavillon, les présents des Dieux, attachés à des chaînes galantes. Les hamadriades et les suivants de Comus les portent aux deux époux, et forment une danse, où Charite mêle une chanson."")","('#junon', ""Nymphe, je veux finir votre peine éternelle Que la Furie emporte aux Enfers avec elle Le trouble et les horreurs dont vos sens sont saisis ! Après un rigoureux supplice  Goûtez les biens parfaits que les Dieux ont choisis :  Et sous le nouveau nom d'Isis Jouissez d'un bonheur qui jamais ne finisse. La Furie s'enfonce dans les Enfers et Io se trouve délivrée de ses peines."")",0.38,Substitution
354,"('#charite', ""Amants, aimez vos chaînes, Vos soins et vos soupirs ; L'Amour suivant vos peines, Mesure vos plaisirs. Il cause des alarmes, Il vend bien cher ses charmes ; Mais pour un si grand bien Tous les maux ne sont rien. Sans une aimable flamme La vie est sans appas ; Qui peut toucher une âme Qu'Amour ne touche pas ? Il cause des alarmes, Il vend bien cher ses charmes ; Mais pour un si grand bien Tous les maux ne sont rien. Tous les Dieux du Ciel et de la Terre recommencent à chanter : les hamadriades et les suivants de Bacchus continuent à danser ; et ce mélange de chants et de danses forme une réjouissance générale, qui achève la fête des noces de Cadmus et Hermione."")","('#jupiter #junon', ""Dieux, recevez Isis au rang des immortels ! Peuples voisins du Nil, dressez lui des Autels ! Les divinités du Ciel descendent pour recevoir Isis; les peuples d'Egypte lui dressent un autel et la reconnaissent pour la Divinité qui les doit protéger. Divinités qui descendent du Ciel dans la gloire, Peuples d'Egypte chantants, quatre égyptiens chantants, peuples d'Egypte dansants."")",0.71,Substitution
355,,"('#choeur #divinites', 'Venez, venez, Divinités nouvelle,')",1.0,Deletion
356,"('#tous-les-choeurs', 'Après un sort si rigoureux, Après tant de peines cruelles, Amants fidèles, Vivez heureux.')","('#choeur #peuples #egypte', ""Isis, Tournez sur nous vos yeux Voyez l'ardeur de notre zèle."")",1.0,Substitution
357,,"('#choeur #divinites', 'La céleste Cour vous appelle')",1.0,Deletion
358,,"('#jupiter #junon', ""Isis est immortelle Isis va briller dans les Cieux. Isis jouit avec les Dieux  D'une gloire éternelle. Jupiter et Junon et les Divinités montent au ciel, et y conduisent Isis, dans le char des choeurs des Divinités et des Parques. Ils répètent ces quatre vers."")",1.0,Deletion
